year,sic3,theil,gini,cv,rmd,mld,mkpm_med,mkpm_avg,n,assets,soe,foreign,determ1,determ2,determ3,herf_3dt_city,eg_3dt_city,avgtariff_ind3,numtariff_ind3,input_tariff,exports,lnasset_proc,ln_theil_proc,lnn_proc,lnasset_single,ln_theil_single,lnn_single,lnasset_nonexp,ln_theil_nonexp,lnn_nonexp,ln_theil_pr,ln_theil_mc,lnn_prmc,lnasset_prmc,ln_theil_tfp,lnasset_surv,ln_theil_surv,lnn_surv,lnasset_enex,ln_theil_enex,lnn_enex,lnasset_soe,ln_theil_soe,lnn_soe,lnasset_nonsoe,ln_theil_nonsoe,lnn_nonsoe,lnasset_coast,ln_theil_coast,lnn_coast,lnasset_inland,ln_theil_inland,lnn_inland,tariff01,hightariff,g,hightariff_post02,rel_year,pre_post,ln_gini,ln_theil,ln_cv,ln_mld,ln_rmd,lnn,lnasset,lnexports,lnfdi,lnit,tariff
1997,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.833333492279053,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04883333206176758,FALSE,Inf,FALSE,-Inf,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058333334922790525
1998,321,0.0147440347364647,0.0941130044745882,0.1745464541448176,0.0657977746556059,0.0145576416301821,1.1840357780456543,1.2086116075515747,892,27460.311740890687,0.9703621864318848,988,0,0,0,0.014708463102579117,0.007560028228908777,5.833333492279053,6,10.161039352416992,1614838.75,NA,NA,NA,9.732511520385742,-4.215966701507568,6.664409160614014,9.884117126464844,-4.206024169921875,6.714170455932617,NA,NA,NA,NA,-7.795241355895996,10.605623245239258,-4.428192615509033,5.82304573059082,9.848991394042969,-4.111113548278809,6.317164897918701,11.19632625579834,-3.776446580886841,5.41610050201416,9.187283515930176,-4.423293590545654,6.5027899742126465,10.71906566619873,-4.3739213943481445,5.826000213623047,9.725648880004883,-4.164827823638916,6.3153581619262695,0.04883333206176758,FALSE,Inf,FALSE,-Inf,control,-2.36325904348462,-4.216916702644473,-1.745564359903728,-4.229639225282149,-2.721169261046387,6.79346613258001,10.220497031802704,14.294745664452792,6.895682697747868,2.3185607353844437,0.058333334922790525
1999,321,0.0141734845266453,0.0928749547811962,0.1705043661088976,0.0652352216507867,0.0140785961710489,1.2060811519622803,1.228224515914917,828,28376.17587373168,0.960189163684845,887,0,0,0,0.014327455312013626,0.012362847104668617,5.833333492279053,6,10.161039352416992,1673308.625,NA,NA,NA,9.685728073120117,-4.294151782989502,6.5496506690979,9.995024681091309,-4.243999481201172,6.635946750640869,NA,NA,NA,NA,-7.8876543045043945,10.547682762145996,-4.270908355712891,5.978885650634766,9.849235534667969,-4.2454118728637695,6.070737838745117,11.227017402648926,-3.8825342655181885,5.283203601837158,9.40125846862793,-4.421748638153076,6.447305679321289,10.662555694580078,-4.356318473815918,5.802118301391602,9.853436470031738,-4.241052150726318,6.208590030670166,0.04883333206176758,FALSE,Inf,FALSE,-Inf,control,-2.376501262822435,-4.256382346784292,-1.7689943749096178,-4.263099636983723,-2.7297557465421884,6.71901315438526,10.253305194409007,14.33031343695453,6.787844982309579,2.3185607353844437,0.058333334922790525
2000,321,0.0115829426305027,0.0834892861672753,0.1542389904101366,0.058342474068105,0.0114664501661355,1.1852959394454956,1.2056455612182617,800,21565.483870967742,0.9576595425605774,871,0,0,0,0.014008092693984509,0.016846410930156708,5.833333492279053,12,9.757283210754395,2078691.125,NA,NA,NA,9.515594482421875,-4.507872104644775,6.48768424987793,9.870216369628906,-4.457496166229248,6.603943824768066,0.3600909411907196,0.2361297905445099,6.016157150268555,9.482348442077637,-7.930440425872803,10.166220664978027,-4.472980976104736,6.122492790222168,9.666341781616211,-4.439157485961914,5.840641498565674,10.949182510375977,-4.298292636871338,5.087596416473389,9.364036560058594,-4.505880355834961,6.458338260650635,10.235176086425781,-4.489753246307373,5.8141303062438965,9.746850967407227,-4.453997611999512,6.142037391662598,0.04883333206176758,FALSE,Inf,FALSE,-Inf,control,-2.4830369647316277,-4.45822172594908,-1.8692519937187577,-4.468329884309416,-2.841424907692259,6.684611727667927,9.978849346621445,14.54724898677911,6.769641976852503,2.2780140021219366,0.058333334922790525
2001,321,0.010094989441812,0.0775422115350892,0.1429877695802476,0.0532592718967574,0.0101275926546634,1.2213537693023682,1.2242275476455688,850,19839.974110032363,0.9596413969993591,927,0,0,0,0.012669138610363007,0.01879444718360901,4.883333206176758,6,9.353527069091797,1828648.875,NA,NA,NA,9.362418174743652,-4.634140491485596,6.5191473960876465,9.818349838256836,-4.599917888641357,6.677083492279053,0.7506272792816162,0.7037070393562317,5.837730407714844,9.485207557678223,-8.012849807739258,9.954015731811523,-4.6309709548950195,6.492239952087402,9.640645980834961,-4.482099533081055,5.247024059295654,10.982400894165039,-4.30406379699707,5.023880481719971,9.260040283203125,-4.672155380249023,6.548219203948975,10.141043663024902,-4.403809070587158,5.924255847930908,9.64725112915039,-4.812390327453613,6.165417671203613,0.04883333206176758,FALSE,Inf,FALSE,-Inf,control,-2.556932825930069,-4.595716073100795,-1.9449961797907633,-4.59249163411038,-2.932583369422853,6.745236349484363,9.895454075900128,14.419087932453273,6.831953565565855,2.2357534988093484,0.04883333206176758
2002,321,0.0099093183128502,0.0769090360671987,0.1421372405249623,0.0533967543827315,0.0098731510449021,1.2232837677001953,1.2304552793502808,832,18997.24699453552,0.9628123641014099,915,0.13952618837356567,8.710328102111816,0.0344666950404644,0.0038372701965272427,0.023321988061070442,3.6666667461395264,6,7.245203495025635,2430491.25,NA,NA,NA,9.430370330810547,-4.653736591339111,6.52502965927124,9.744412422180176,-4.586276531219482,6.655440330505371,-0.1653544157743454,-0.11716514080762863,5.897153854370117,9.52032470703125,-8.121299743652344,9.90993595123291,-4.681705474853516,6.43454647064209,9.648905754089355,-4.444252014160156,5.342334270477295,10.597105979919434,-4.6672163009643555,4.804020881652832,9.607461929321289,-4.6056599617004395,6.56526517868042,9.972886085510254,-4.549398899078369,5.80814266204834,9.762958526611328,-4.6661577224731445,6.212605953216553,0.04883333206176758,FALSE,Inf,FALSE,-Inf,control,-2.565131905248787,-4.614279720811457,-1.9509622055542897,-4.617936221685073,-2.9300053142127247,6.723832440821209,9.852049352625833,14.70360395537888,6.818924065275521,1.9803396630283863,0.03666666746139526
2003,321,0.010186365117903,0.0793125532268129,0.1433829615663397,0.0555659925404599,0.0102369420689527,1.2257015705108643,1.235235333442688,725,27741.357740585772,0.9593689441680908,956,0.13952618837356567,8.710328102111816,0.0344666950404644,0.003807324916124344,0.02035094052553177,3.5,6,6.8292365074157715,2642703.75,NA,NA,NA,9.853371620178223,-4.548691272735596,6.46146821975708,10.191036224365234,-4.592052459716797,6.514712810516357,1.50932776927948,1.5295178890228271,5.89164400100708,9.81265926361084,-3.7333085536956787,10.399787902832031,-4.598145961761475,5.918893814086914,9.967782020568848,-4.576135158538818,5.8664679527282715,10.7636079788208,-4.290415287017822,4.406719207763672,10.132820129394531,-4.634861469268799,6.466144561767578,10.265419006347656,-4.609008312225342,5.602118968963623,10.203660011291504,-4.588593482971191,6.118097305297852,0.04883333206176758,FALSE,Inf,FALSE,-Inf,control,-2.534358862405308,-4.586705206090182,-1.9422361754049906,-4.58175233004726,-2.8901839098124427,6.586171654854675,10.23067963789764,14.787313098768282,6.862757913051401,1.9212128821828487,0.035
2004,321,0.0117799299440836,0.0854726794059631,0.1544699218798611,0.0602529347177506,0.0118089272047786,1.2186031341552734,1.2237060070037842,942,31216.919032597267,0.980414092540741,951,0.13952618837356567,8.710328102111816,0.0344666950404644,0.004235865548253059,0.027331247925758362,3.3333332538604736,6,6.517184257507324,2901475,NA,NA,NA,10.236227989196777,-4.437796115875244,6.791221618652344,10.32378101348877,-4.434347152709961,6.794586658477783,-1.1987394094467163,-1.445373296737671,5.733341217041016,9.974674224853516,-5.661455154418945,10.625175476074219,-4.799897193908691,5.288267135620117,10.265298843383789,-4.36462926864624,6.612040996551514,11.850926399230957,-4.537594318389893,4.143134593963623,10.048561096191406,-4.436161518096924,6.77878475189209,10.467044830322266,-4.4102911949157715,5.971261978149414,10.258167266845703,-4.4719648361206055,6.309918403625488,0.04883333206176758,FALSE,Inf,FALSE,-Inf,control,-2.459558493214465,-4.441358047798146,-1.8677558819862723,-4.438899490766902,-2.809203998789309,6.848005274576363,10.348715503504515,14.880729786342696,6.85751406254539,1.8744424203136596,0.03333333253860474
2005,321,0.0106824659895782,0.0817135536003358,0.1469733614274862,0.0573564578840297,0.0107048565593451,1.2391693592071533,1.2452107667922974,890,30275.0743618202,0.9780590534210205,901,0.13952618837356567,8.710328102111816,0.0344666950404644,0.003620951669290662,0.029426487162709236,3.3333332538604736,6,6.373614311218262,2419000.25,NA,NA,NA,10.198789596557617,-4.533097267150879,6.741700649261475,10.222234725952148,-4.515050411224365,6.723832607269287,0.022334584966301918,-0.20890550315380096,6.198478698730469,10.094134330749512,-5.196847438812256,10.694034576416016,-4.730902671813965,5.068904399871826,10.215166091918945,-4.502308368682861,6.5944132804870605,11.334540367126465,-5.0225019454956055,4.007333278656006,10.197563171386719,-4.5153117179870605,6.727431774139404,10.433812141418457,-4.675094127655029,5.92958927154541,10.22697925567627,-4.452688217163086,6.242223262786865,0.04883333206176758,FALSE,Inf,FALSE,-Inf,control,-2.5045353961342385,-4.539151574202325,-1.917503923403788,-4.537057756437541,-2.8584698369680006,6.7912214627261855,10.318080024630339,14.69886489294065,6.803505257608338,1.852166704471586,0.03333333253860474
1997,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2857143878936768,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02142857074737549,FALSE,Inf,FALSE,-Inf,control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.022857143878936767
1998,322,0.0133898394628055,0.0902817396923458,0.1665444181962413,0.0630913301748772,0.0131847842763847,1.1986333131790161,1.2260090112686157,257,640347.6759581881,1.035094141960144,287,0,0,0,0.03879990428686142,-0.004663160536438227,2.2857143878936768,7,8.9819488525390625,5956907,NA,NA,NA,11.917967796325684,-4.417037487030029,5.247024059295654,12.276996612548828,-4.3293776512146,5.402677536010742,NA,NA,NA,NA,-6.544754981994629,14.099372863769531,-4.1197919845581055,4.672828674316406,12.103004455566406,-4.50307035446167,5.0106353759765625,14.197586059570312,-3.972320556640625,4.595119953155518,9.981213569641113,-4.703673362731934,5.062594890594482,13.300699234008789,-4.532844543457031,4.9416422843933105,13.440288543701172,-4.1729841232299805,4.762174129486084,0.02142857074737549,FALSE,Inf,FALSE,-Inf,control,-2.404820057254511,-4.313259108685843,-1.7924932291866145,-4.328691820601239,-2.7631719170544065,5.54907608489522,13.36976655151709,15.60006194460378,5.659482215759621,2.1952168802092373,0.022857143878936767
1999,322,0.0130795262695,0.0890249641682165,0.1646772002828018,0.0627044472561389,0.0128749051260826,1.1931402683258057,1.2277716398239136,231,829009.1171875,0.970992386341095,256,0,0,0,0.04220735281705856,-0.005125825293362141,2.2857143878936768,7,8.9819488525390625,5273525,NA,NA,NA,12.443904876708984,-4.485250473022461,5.017279624938965,12.548412322998047,-4.376587867736816,5.2983174324035645,NA,NA,NA,NA,-6.570633411407471,14.051492691040039,-4.412326812744141,4.8121843338012695,12.783604621887207,-4.292359352111816,4.682131290435791,14.385685920715332,-4.106323719024658,4.553876876831055,10.549287796020508,-4.620774745941162,4.912654876708984,13.553866386413574,-4.539497375488281,4.795790672302246,13.696990013122559,-4.212579250335693,4.7004804611206055,0.02142857074737549,FALSE,Inf,FALSE,-Inf,control,-2.4188384523096262,-4.336707151537104,-1.8037680831795186,-4.352475201307441,-2.769322904733591,5.442417710521793,13.627986431870587,15.478209577372123,5.545177444479562,2.1952168802092373,0.022857143878936767
2000,322,0.0126434611106691,0.0887679263284239,0.1618251159612172,0.0635599817088058,0.0124149767449126,1.218379259109497,1.2405283451080322,245,809577.2172284644,0.9688116312026978,268,0,0,0,0.045108042657375336,-0.00457715755328536,2.2857143878936768,14,8.600926876068115,11806207,NA,NA,NA,11.77182388305664,-4.498743534088135,5.003946304321289,11.834595680236816,-4.438090801239014,5.318120002746582,NA,NA,NA,NA,-6.669667720794678,13.979948043823242,-4.460242748260498,4.9904327392578125,12.350180625915527,-4.252708911895752,4.584967613220215,14.559737205505371,-4.232469081878662,4.510859489440918,10.433734893798828,-4.54953670501709,5.036952495574951,13.513948440551758,-4.473592281341553,4.8978400230407715,13.700581550598145,-4.330312728881836,4.709530353546143,0.02142857074737549,FALSE,Inf,FALSE,-Inf,control,-2.421729884224056,-4.370615105699234,-1.8212390579667495,-4.388851733168135,-2.755771225092049,5.501258210544727,13.60426743634426,16.284135968086627,5.5909869805108565,2.1518699737390055,0.022857143878936767
2001,322,0.0129881348043187,0.0908228705264002,0.1631843807377621,0.0640854267919219,0.0128736588306639,1.2520663738250732,1.2698345184326172,238,924236.0241935484,0.9491867423057556,248,0,0,0,0.045871980488300323,-0.002981083234772086,2.142857074737549,7,8.219904899597168,7671916.5,NA,NA,NA,11.722786903381348,-4.441744804382324,4.644391059875488,12.758902549743652,-4.370824337005615,5.303304672241211,NA,NA,NA,10.211714744567871,-6.691674709320068,13.815789222717285,-4.3577880859375,5.323009967803955,13.00721263885498,-4.3427605628967285,3.4965076446533203,14.719151496887207,-4.363758087158203,4.454347133636475,10.998682022094727,-4.3719916343688965,5.023880481719971,13.747210502624512,-4.462292194366455,4.8978400230407715,13.722962379455566,-4.252032279968262,4.644391059875488,0.02142857074737549,FALSE,Inf,FALSE,-Inf,control,-2.398844147046783,-4.343719045651675,-1.8128745472959797,-4.352572006350376,-2.7475382920437648,5.472270673671475,13.736722755444138,15.853077011753127,5.5134287461649825,2.1065586396090907,0.02142857074737549
2002,322,0.0128761109570694,0.0898805548948603,0.1611305539007483,0.0633866355919138,0.0130111445465003,1.2414500713348389,1.246694564819336,214,928704.9742489271,0.9490721821784973,233,0.2598400115966797,8.130520820617676,0.018214378505945206,0.05013620853424072,-0.003322827396914363,2,7,6.3496809005737305,5227443,NA,NA,NA,11.334223747253418,-4.590678691864014,4.532599449157715,12.838401794433594,-4.439889907836914,5.247024059295654,NA,NA,NA,12.180131912231445,-6.78073787689209,13.883098602294922,-4.353714942932129,5.153291702270508,12.682633399963379,-4.624845504760742,3.7135720252990723,14.745206832885742,-4.352851867675781,4.304065227508545,11.203548431396484,-4.478160381317139,4.9416422843933105,13.796589851379395,-4.538942337036133,4.709530353546143,13.67733383178711,-4.194965362548828,4.634728908538818,0.02142857074737549,FALSE,Inf,FALSE,-Inf,control,-2.409273657953978,-4.352381548227206,-1.8255403488009525,-4.341949015961346,-2.7585022348395865,5.365976015021851,13.741546393891596,15.469432806351733,5.4510384535657,1.8484045597637797,0.02
2003,322,0.0112134787343813,0.0812674028444686,0.1518133710462106,0.0558766836432524,0.0111386880147373,1.2631409168243408,1.2601001262664795,236,923790.5148148148,0.9532281160354614,270,0.2598400115966797,8.130520820617676,0.018214378505945206,0.043960463255643845,-2.2843318583909422e-4,2,7,6.000263690948486,7697060.5,NA,NA,NA,11.7949857711792,-4.697023391723633,4.927253723144531,12.894824981689453,-4.503842353820801,5.375278472900391,NA,NA,NA,11.9793062210083,-4.710238456726074,14.17268180847168,-4.369564056396484,4.867534637451172,12.398666381835938,-4.774897575378418,4.6634392738342285,14.980052947998047,-4.068181991577148,3.97029185295105,11.609013557434082,-4.708902835845947,5.20948600769043,13.691011428833008,-4.612682819366455,4.983606815338135,13.793289184570312,-4.319577217102051,4.499809741973877,0.02142857074737549,FALSE,Inf,FALSE,-Inf,control,-2.51001029185245,-4.490638765829808,-1.8851033345913442,-4.497330823883954,-2.884608094184657,5.4638318050256105,13.73624060935158,15.856349060690839,5.598421958998375,1.7918034167537626,0.02
2004,322,0.0123109627820079,0.0853859453718685,0.1589373369513775,0.0586944518685788,0.0122471389463021,1.2275018692016602,1.2354581356048584,371,343701.7028985507,0.9485393166542053,414,0.2598400115966797,8.130520820617676,0.018214378505945206,0.04519275203347206,0.03318684175610542,2,7,5.732251167297363,9960885,NA,NA,NA,11.664077758789062,-4.359197616577148,5.730099678039551,11.981889724731445,-4.384415149688721,5.834810733795166,0.15077398717403412,0.2240910530090332,4.127134323120117,11.181218147277832,-5.876025676727295,13.69007396697998,-4.475820541381836,4.521788597106934,11.910911560058594,-4.375535011291504,5.631211757659912,14.491880416870117,-3.9727375507354736,3.6375861167907715,11.658528327941895,-4.479755401611328,5.80814266204834,12.655268669128418,-4.59563684463501,5.472270488739014,12.890332221984863,-4.2124762535095215,4.8903489112854,0.02142857074737549,FALSE,Inf,FALSE,-Inf,control,-2.4605737658313167,-4.397265130470616,-1.8392452616666088,-4.402462924673622,-2.835410073334344,5.916202062607435,12.747529417433014,16.11417648103506,6.025865973825314,1.7461083274458007,0.02
